object_type,page_number,x0,x1,y0,y1,doctop,top,bottom,width,height,adv,evenodd,fill,fontname,linewidth,matrix,mcid,ncs,non_stroking_color,non_stroking_pattern,pts,size,stroke,stroking_color,stroking_pattern,tag,text,upright
rect,1,330.31,330.55,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(330.31, 78.98000000000002), (330.55, 78.98000000000002), (330.55, 70.34000000000003), (330.31, 70.34000000000003)]",,0,,,,,
rect,1,368.23,368.47,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(368.23, 78.98000000000002), (368.47, 78.98000000000002), (368.47, 70.34000000000003), (368.23, 70.34000000000003)]",,0,,,,,
rect,1,444.1,444.34000000000003,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(444.1, 78.98000000000002), (444.34000000000003, 78.98000000000002), (444.34000000000003, 70.34000000000003), (444.1, 70.34000000000003)]",,0,,,,,
rect,1,482.04,482.28000000000003,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(482.04, 78.98000000000002), (482.28000000000003, 78.98000000000002), (482.28000000000003, 70.34000000000003), (482.04, 70.34000000000003)]",,0,,,,,
rect,1,557.88,558.12,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(557.88, 78.98000000000002), (558.12, 78.98000000000002), (558.12, 70.34000000000003), (557.88, 70.34000000000003)]",,0,,,,,
rect,1,595.82,596.0600000000001,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(595.82, 78.98000000000002), (596.0600000000001, 78.98000000000002), (596.0600000000001, 70.34000000000003), (595.82, 70.34000000000003)]",,0,,,,,
rect,1,671.66,671.9,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(671.66, 78.98000000000002), (671.9, 78.98000000000002), (671.9, 70.34000000000003), (671.66, 70.34000000000003)]",,0,,,,,
rect,1,747.53,747.77,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(747.53, 78.98000000000002), (747.77, 78.98000000000002), (747.77, 70.34000000000003), (747.53, 70.34000000000003)]",,0,,,,,
rect,1,785.47,785.71,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(785.47, 78.98000000000002), (785.71, 78.98000000000002), (785.71, 70.34000000000003), (785.47, 70.34000000000003)]",,0,,,,,
rect,1,861.31,861.55,533.02,541.66,70.34000000000003,70.34000000000003,78.98000000000002,0.2400000000000091,8.639999999999986,,1,1,,0.24,,,,,,"[(861.31, 78.98000000000002), (861.55, 78.98000000000002), (861.55, 70.34000000000003), (861.31, 70.34000000000003)]",,0,,,,,
